,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Status,Latitude,Longitude
26559,65949,Bravo REC Management LLC,67820,Dixie Creek Dairy Solar,CA,Kings,CISO,Industrial Non-CHP,DXCRK,2.9,2.9,2.1,Solar Photovoltaic,(OP) Operating,36.29907,-119.5002
26570,66410,"127 CVF, LLC",67835,Costa View Farms,CA,Madera,CISO,IPP Non-CHP,64544,10,10,10,Solar Photovoltaic,(OP) Operating,36.99,-120.308
26576,66425,Delta Electronics (Americas) Ltd,67853,Delta Electronics Fremont,CA,Alameda,CISO,Industrial Non-CHP,PV1,0.6,0.6,0.6,Solar Photovoltaic,(OP) Operating,37.48963,-121.949
26577,66425,Delta Electronics (Americas) Ltd,67853,Delta Electronics Fremont,CA,Alameda,CISO,Industrial Non-CHP,PV4,0.4,0.4,0.4,Solar Photovoltaic,(OP) Operating,37.48963,-121.949
26585,65949,Bravo REC Management LLC,67863,TWC,CA,Tulare,CISO,Industrial Non-CHP,TWC,1.2,1.2,1,Solar Photovoltaic,(OP) Operating,36.122809,-119.4477
26588,60584,Onyx Asset Services Group,67866,Paso Robles - Municipal Airport,CA,San Luis Obispo,CISO,IPP Non-CHP,10221,3,3,3,Solar Photovoltaic,(OP) Operating,35.679378,-120.6359
26589,66438,Harris Farms Inc,67868,Harris Farms Solar Facility,CA,Fresno,CISO,Industrial Non-CHP,HF1,1.3,1.3,1.3,Solar Photovoltaic,(OP) Operating,36.253184,-120.2293
26606,63689,"Wonderful Renewable Energy, LLC.",67913,Wonderful Orchards - West Valley,CA,Kern,CISO,Industrial Non-CHP,WOWV,3,3,3,Solar Photovoltaic,(OP) Operating,35.658203,-119.973
26635,66541,"Solar DG CA Long Beach, LLC",67994,City of Long Beach Airport Lot A & B,CA,Los Angeles,LDWP,IPP Non-CHP,COLBA,1.8,1.2,0.9,Solar Photovoltaic,(OP) Operating,33.81516,-118.1412
26637,58759,Perpetual Energy Systems,68016,Hollister Wastewater Facility,CA,San Benito,CISO,IPP Non-CHP,HOLWF,1,1,1,Solar Photovoltaic,(OP) Operating,36.857193,-121.4459
26639,66559,Leprino Foods,68027,Lemoore West,CA,Kings,CISO,Industrial Non-CHP,LEW1,7.9,7.9,7.9,Solar Photovoltaic,(OP) Operating,36.30018,-119.8214
26640,61980,Valta Energy,68038,KDC Solar Madera LLC,CA,Madera,BANC,IPP Non-CHP,VSPRC,10,10,10,Solar Photovoltaic,(OP) Operating,36.926,-120.104
26653,66574,EDPRNA DG CA Livermore LLC,68064,CA- US Foods- Livermore,CA,Alameda,CISO,IPP Non-CHP,USFL,1.2,1.2,1.2,Solar Photovoltaic,(OP) Operating,37.711625,-121.7085
26666,65869,Prologis Logistics Services Incorporated,68151,Mountain View Ind Park 1-sline001,CA,San Bernardino,CISO,IPP Non-CHP,IE001,1.1,1.1,1.1,Solar Photovoltaic,(OP) Operating,34.050209,-117.4604
